2,3330
2,2377
1,5663
3,2564
2,2713
0,0
3,2248
3,1970
1,4283
1,5178
1,4130
1,4062
3,1866
3,2602
0,0
0,0
3,2053
3,2519
2,2224
0,0
3,1768
3,2315
3,1980
0,0
1,4827
0,0
1,4685
3,2649
0,0
0,0
1,5407
1,4709
0,0
1,5502
0,0
2,2519
1,5313
2,2354
2,2304
3,2538
1,5395
1,4040
0,0
0,0
1,5284
3,2751
1,5764
2,3218
1,5691
1,4260
2,3401
2,3931
2,3532
0,0
0,0
3,2155
0,0
0,0
1,5115
2,3423
3,1808
2,2656
1,4594
3,1666
2,2313
0,0
2,2400
3,2711
2,2176
3,1299
0,0
2,2246
1,5012
2,2192
2,2222
3,1397
3,1715
0,0
3,1712
1,4198
2,2074
2,3061
3,2003
2,2570
2,3299
2,2038
2,2629
3,1855
2,2217
1,5750
0,0
3,2653
2,3582
3,2915
3,2694
1,5717
3,2581
3,1540
2,2006
2,3102
2,3403
2,3911
3,1750
2,2796
3,2673
1,4131
1,5739
2,3090
2,3232
3,2299
2,3643
1,5249
1,5346
2,3475
2,3399
2,2145
2,3534
2,3895
1,5023
1,5509
3,1730
2,3216
3,2090
2,2153
1,5784
0,0
0,0
3,2333
1,5717
3,2299
2,2610
3,1681
2,3416
2,3857
1,5917
0,0
0,0
1,4143
1,4800
3,2440
2,2644
2,3229
1,5066
0,0
2,2815
2,2572
2,3572
2,3031
0,0
3,2056
0,0
2,3018
2,3654
2,3339
3,2484
0,0
1,5967
1,4839
1,5990
3,1179
1,4474
0,0
1,5624
0,0
2,3423
2,2374
1,4541
1,5953
0,0
1,5021
3,1087
2,3084
1,4474
2,2302
3,2875
3,1523
2,2940
2,2588
3,1059
0,0
0,0
0,0
0,0
3,2013
2,2666
0,0
2,2975
0,0
1,5194
1,4169
3,2655
0,0
2,3001
0,0
0,0
2,2330
3,1168
2,2292
3,1436
1,4596
0,0
1,5649
2,2611
3,2033
3,1240
3,2747
0,0
1,4058
0,0
3,2810
0,0
0,0
3,2892
3,2809
3,2443
2,3855
2,2443
1,4413
1,4089
0,0
2,2597
3,1279
2,2406
3,2284
2,3166
3,1169
2,3236
1,4969
2,2263
1,5698
2,2554
2,2999
0,0
0,0
3,2813
2,2482
1,5205
0,0
0,0
1,4029
3,2313
0,0
1,4049
3,2432
1,5956
0,0
2,2699
2,3961
0,0
1,4411
1,5660
1,5167
3,2422
3,2855
3,2931
1,4420
3,2224
3,1713
2,2155
0,0
1,5376
1,5297
2,2916
2,3311
2,3480
0,0
0,0
3,1295
3,2220
0,0
0,0
1,4238
2,3362
2,2274
2,3950
1,5986
0,0
3,1123
3,1885
2,2820
2,3422
1,4164
2,3178
0,0
3,2903
1,5440
3,1257
2,2364
2,3248
3,1936
2,3344
0,0
2,2714
0,0
1,4064
0,0
1,4760
1,5892
0,0
2,2221
3,1543
1,4875
1,5412
1,5696
3,1014
2,2047
1,4575
2,3138
3,1466
1,5891
3,1739
0,0
3,1701
3,2709
0,0
