t(s)	|v|		|w|		|xc|	|yc|	|θ|
-------------------------------------------------
0.00	0.00	0.00	0.50	0.00	0.00
0.05	1.00	0.63	0.50	0.08	0.04
0.10	1.00	0.63	0.50	0.16	0.08
0.15	1.00	0.63	0.50	0.20	0.09
0.20	1.00	0.63	0.51	0.28	0.13
0.25	1.00	0.63	0.51	0.35	0.17
0.30	1.00	0.63	0.52	0.39	0.19
0.35	1.00	0.63	0.52	0.47	0.23
0.40	1.00	0.63	0.53	0.55	0.26
0.45	1.00	0.63	0.54	0.58	0.28
0.50	1.00	0.63	0.55	0.66	0.32
0.55	1.00	0.63	0.56	0.73	0.36
0.60	1.00	0.63	0.57	0.77	0.38
0.65	1.00	0.63	0.59	0.84	0.41
0.70	1.00	0.63	0.60	0.92	0.45
0.75	1.00	0.63	0.61	0.95	0.47
0.80	1.00	0.63	0.63	1.02	0.51
0.85	1.00	0.63	0.65	1.09	0.55
0.90	1.00	0.63	0.66	1.12	0.57
0.95	1.00	0.63	0.68	1.19	0.60
1.00	1.00	0.63	0.71	1.25	0.64
1.05	1.00	0.63	0.72	1.29	0.66
1.10	1.00	0.63	0.75	1.35	0.70
1.15	1.00	0.63	0.77	1.41	0.74
1.20	1.00	0.63	0.79	1.44	0.75
1.25	1.00	0.63	0.81	1.49	0.79
1.30	1.00	0.63	0.84	1.55	0.83
1.35	1.00	0.63	0.86	1.57	0.85
1.40	1.00	0.63	0.89	1.63	0.89
1.45	1.00	0.63	0.92	1.67	0.92
1.50	1.00	0.63	0.94	1.70	0.94
1.55	1.00	0.63	0.97	1.74	0.98
1.60	1.00	0.63	1.01	1.79	1.02
1.65	1.00	0.63	1.02	1.81	1.04
1.70	1.00	0.63	1.06	1.85	1.07
1.75	1.00	0.63	1.09	1.88	1.11
1.80	1.00	0.63	1.11	1.90	1.13
1.85	1.00	0.63	1.15	1.93	1.17
1.90	1.00	0.63	1.19	1.96	1.21
1.95	1.00	0.63	1.21	1.98	1.23
2.00	1.00	0.63	1.25	2.00	1.26
2.05	1.00	0.63	1.29	2.03	1.30
2.10	1.00	0.63	1.31	2.04	1.32
2.15	1.00	0.63	1.35	2.06	1.36
2.20	1.00	0.63	1.39	2.07	1.39
2.25	1.00	0.63	1.41	2.08	1.41
2.30	1.00	0.63	1.45	2.09	1.45
2.35	1.00	0.63	1.49	2.10	1.49
2.40	1.00	0.63	1.51	2.10	1.51
2.45	1.00	0.63	1.55	2.11	1.55
2.50	1.00	0.63	1.59	2.11	1.58
2.55	1.00	0.63	1.61	2.11	1.60
2.60	1.00	0.63	1.65	2.10	1.64
2.65	1.00	0.63	1.69	2.10	1.68
2.70	1.00	0.63	1.71	2.09	1.70
2.75	1.00	0.63	1.75	2.08	1.73
2.80	1.00	0.63	1.79	2.07	1.77
2.85	1.00	0.63	1.81	2.06	1.79
2.90	1.00	0.63	1.86	2.04	1.83
2.95	1.00	0.63	1.89	2.02	1.87
3.00	1.00	0.63	1.91	2.01	1.88
3.05	1.00	0.63	1.95	1.98	1.92
3.10	1.00	0.63	1.99	1.96	1.96
3.15	1.00	0.63	2.01	1.94	1.98
3.20	1.00	0.63	2.05	1.91	2.02
3.25	1.00	0.63	2.09	1.87	2.05
3.30	1.00	0.63	2.10	1.86	2.07
3.35	1.00	0.63	2.14	1.82	2.11
3.40	1.00	0.63	2.18	1.77	2.15
3.45	1.00	0.63	2.19	1.75	2.17
3.50	1.00	0.63	2.23	1.71	2.21
3.55	1.00	0.63	2.26	1.66	2.24
3.60	1.00	0.63	2.28	1.64	2.26
3.65	1.00	0.63	2.31	1.59	2.30
3.70	1.00	0.63	2.34	1.53	2.34
3.75	1.00	0.63	2.35	1.50	2.36
3.80	1.00	0.63	2.38	1.45	2.39
3.85	1.00	0.63	2.41	1.39	2.43
3.90	1.00	0.63	2.42	1.36	2.45
3.95	1.00	0.63	2.45	1.30	2.49
4.00	1.00	0.63	2.47	1.24	2.53
4.05	1.00	0.63	2.49	1.20	2.54
4.10	1.00	0.63	2.51	1.14	2.58
4.15	1.00	0.63	2.53	1.07	2.62
4.20	1.00	0.63	2.54	1.04	2.64
4.25	1.00	0.63	2.56	0.97	2.68
4.30	1.00	0.63	2.58	0.90	2.71
4.35	1.00	0.63	2.59	0.86	2.73
4.40	1.00	0.63	2.60	0.79	2.77
4.45	1.00	0.63	2.62	0.71	2.81
4.50	1.00	0.63	2.62	0.68	2.83
4.55	1.00	0.63	2.64	0.60	2.87
4.60	1.00	0.63	2.65	0.52	2.90
4.65	1.00	0.63	2.65	0.49	2.92
4.70	1.00	0.63	2.66	0.41	2.96
4.75	1.00	0.63	2.67	0.33	3.00
4.80	1.00	0.63	2.67	0.29	3.02
4.85	1.00	0.63	2.68	0.21	3.05
4.90	1.00	0.63	2.68	0.14	3.09
4.95	1.00	0.63	2.68	0.10	3.11
5.00	1.00	0.63	2.68	0.02	3.15
5.05	1.00	0.63	2.68	-0.06	3.19
5.10	1.00	0.63	2.68	-0.10	3.20
5.15	1.00	0.63	2.68	-0.18	3.24
5.20	1.00	0.63	2.67	-0.26	3.28
