t(s)	|v|		|w|		|xc|	|yc|	|θ|
-------------------------------------------------
0.00000	0.00000	0.00000	0.50	0.00	0.00
0.05012	1.00000	0.62832	0.50	0.08	0.04
0.10023	1.00000	0.62832	0.50	0.12	0.06
0.15044	1.00000	0.62832	0.50	0.16	0.08
0.20066	1.00000	0.62832	0.50	0.20	0.09
0.25084	1.00000	0.62832	0.51	0.24	0.11
0.30092	1.00000	0.62832	0.51	0.28	0.13
0.35100	1.00000	0.62832	0.51	0.31	0.15
0.40107	1.00000	0.62832	0.51	0.35	0.17
0.45114	1.00000	0.62832	0.52	0.39	0.19
0.50121	1.00000	0.62832	0.52	0.43	0.21
0.55129	1.00000	0.62832	0.52	0.47	0.23
0.60137	1.00000	0.62832	0.53	0.51	0.25
0.65144	1.00000	0.62832	0.53	0.55	0.26
0.70151	1.00000	0.62832	0.54	0.58	0.28
0.75159	1.00000	0.62832	0.54	0.62	0.30
0.80167	1.00000	0.62832	0.55	0.66	0.32
0.85173	1.00000	0.62832	0.56	0.70	0.34
0.90181	1.00000	0.62832	0.56	0.73	0.36
0.95189	1.00000	0.62832	0.57	0.77	0.38
1.00209	1.00000	0.62832	0.58	0.81	0.40
1.05218	1.00000	0.62832	0.59	0.84	0.41
1.10227	1.00000	0.62832	0.59	0.88	0.43
1.15234	1.00000	0.62832	0.60	0.92	0.45
1.20243	1.00000	0.62832	0.61	0.95	0.47
1.25251	1.00000	0.62832	0.62	0.99	0.49
1.30260	1.00000	0.62832	0.63	1.02	0.51
1.35269	1.00000	0.62832	0.64	1.06	0.53
1.40271	1.00000	0.62832	0.65	1.09	0.55
1.45278	1.00000	0.62832	0.66	1.12	0.57
1.50286	1.00000	0.62832	0.67	1.16	0.58
1.55293	1.00000	0.62832	0.68	1.19	0.60
1.60301	1.00000	0.62832	0.70	1.22	0.62
1.65314	1.00000	0.62832	0.71	1.25	0.64
1.70322	1.00000	0.62832	0.72	1.29	0.66
1.75331	1.00000	0.62832	0.73	1.32	0.68
1.80339	1.00000	0.62832	0.75	1.35	0.70
1.85349	1.00000	0.62832	0.76	1.38	0.72
1.90361	1.00000	0.62832	0.77	1.41	0.74
1.95368	1.00000	0.62832	0.79	1.44	0.75
2.00373	1.00000	0.62832	0.80	1.46	0.77
